t=,1243797, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.012, mSel=,+0.347, b=,0.011, m=,0.129, ca=,0.0485, cr=,0.0344,  actvprof=,1.571979, best_B_id=,B05, best_B_prof=,1.571979, best_B_strat=, mBuy=,-0.012, mSel=,+0.347, b=,0.011, m=,0.129, ca=,0.0485, cr=,0.0344, 
t=,1274134, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.006, mSel=,+0.409, b=,0.020, m=,0.111, ca=,0.0537, cr=,0.0343,  actvprof=,1.514987, best_B_id=,B05, best_B_prof=,1.514987, best_B_strat=, mBuy=,-0.006, mSel=,+0.409, b=,0.020, m=,0.111, ca=,0.0537, cr=,0.0343, 
t=,1304471, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.006, mSel=,+0.409, b=,0.020, m=,0.111, ca=,0.0537, cr=,0.0343,  actvprof=,1.446238, best_B_id=,B05, best_B_prof=,1.446238, best_B_strat=, mBuy=,-0.006, mSel=,+0.409, b=,0.020, m=,0.111, ca=,0.0537, cr=,0.0343, 
t=,1334807, id=,B05, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.444, b=,0.007, m=,0.080, ca=,0.0524, cr=,0.0367,  actvprof=,1.625160, best_B_id=,B05, best_B_prof=,1.625160, best_B_strat=, mBuy=,+0.000, mSel=,+0.444, b=,0.007, m=,0.080, ca=,0.0524, cr=,0.0367, 
t=,1365144, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.006, mSel=,+0.409, b=,0.036, m=,0.052, ca=,0.0554, cr=,0.0362,  actvprof=,1.435812, best_B_id=,B05, best_B_prof=,1.435812, best_B_strat=, mBuy=,-0.006, mSel=,+0.409, b=,0.036, m=,0.052, ca=,0.0554, cr=,0.0362, 
t=,1395480, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.009, mSel=,+0.381, b=,0.014, m=,0.088, ca=,0.0575, cr=,0.0384,  actvprof=,1.561042, best_B_id=,B05, best_B_prof=,1.561042, best_B_strat=, mBuy=,-0.009, mSel=,+0.381, b=,0.014, m=,0.088, ca=,0.0575, cr=,0.0384, 
t=,1425817, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.009, mSel=,+0.415, b=,0.011, m=,0.161, ca=,0.0578, cr=,0.0404,  actvprof=,1.582729, best_B_id=,B05, best_B_prof=,1.582729, best_B_strat=, mBuy=,-0.009, mSel=,+0.415, b=,0.011, m=,0.161, ca=,0.0578, cr=,0.0404, 
t=,1456154, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.009, mSel=,+0.415, b=,0.011, m=,0.161, ca=,0.0578, cr=,0.0404,  actvprof=,1.476669, best_B_id=,B05, best_B_prof=,1.476669, best_B_strat=, mBuy=,-0.009, mSel=,+0.415, b=,0.011, m=,0.161, ca=,0.0578, cr=,0.0404, 
t=,1486490, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.005, mSel=,+0.366, b=,0.000, m=,0.152, ca=,0.0602, cr=,0.0413,  actvprof=,1.816753, best_B_id=,B05, best_B_prof=,1.816753, best_B_strat=, mBuy=,-0.005, mSel=,+0.366, b=,0.000, m=,0.152, ca=,0.0602, cr=,0.0413, 
t=,1516827, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.007, mSel=,+0.361, b=,0.013, m=,0.099, ca=,0.0566, cr=,0.0409,  actvprof=,1.497704, best_B_id=,B05, best_B_prof=,1.497704, best_B_strat=, mBuy=,-0.007, mSel=,+0.361, b=,0.013, m=,0.099, ca=,0.0566, cr=,0.0409, 
t=,1547164, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.007, mSel=,+0.361, b=,0.013, m=,0.099, ca=,0.0566, cr=,0.0409,  actvprof=,1.590568, best_B_id=,B05, best_B_prof=,1.590568, best_B_strat=, mBuy=,-0.007, mSel=,+0.361, b=,0.013, m=,0.099, ca=,0.0566, cr=,0.0409, 
t=,1577500, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.007, mSel=,+0.361, b=,0.013, m=,0.099, ca=,0.0566, cr=,0.0409,  actvprof=,1.572040, best_B_id=,B05, best_B_prof=,1.572040, best_B_strat=, mBuy=,-0.007, mSel=,+0.361, b=,0.013, m=,0.099, ca=,0.0566, cr=,0.0409, 
t=,1607837, id=,B05, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.375, b=,0.002, m=,0.080, ca=,0.0519, cr=,0.0455,  actvprof=,1.515347, best_B_id=,B05, best_B_prof=,1.515347, best_B_strat=, mBuy=,+0.000, mSel=,+0.375, b=,0.002, m=,0.080, ca=,0.0519, cr=,0.0455, 
t=,1638173, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.005, mSel=,+0.370, b=,0.003, m=,0.109, ca=,0.0524, cr=,0.0493,  actvprof=,1.317397, best_B_id=,B05, best_B_prof=,1.317397, best_B_strat=, mBuy=,-0.005, mSel=,+0.370, b=,0.003, m=,0.109, ca=,0.0524, cr=,0.0493, 
t=,1668510, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.001, mSel=,+0.363, b=,0.032, m=,0.105, ca=,0.0483, cr=,0.0492,  actvprof=,1.380372, best_B_id=,B05, best_B_prof=,1.380372, best_B_strat=, mBuy=,-0.001, mSel=,+0.363, b=,0.032, m=,0.105, ca=,0.0483, cr=,0.0492, 
t=,1698846, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.027, mSel=,+0.362, b=,0.003, m=,0.116, ca=,0.0502, cr=,0.0473,  actvprof=,1.754841, best_B_id=,B05, best_B_prof=,1.754841, best_B_strat=, mBuy=,-0.027, mSel=,+0.362, b=,0.003, m=,0.116, ca=,0.0502, cr=,0.0473, 
t=,1729182, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.023, mSel=,+0.408, b=,0.010, m=,0.152, ca=,0.0479, cr=,0.0473,  actvprof=,1.709075, best_B_id=,B05, best_B_prof=,1.709075, best_B_strat=, mBuy=,-0.023, mSel=,+0.408, b=,0.010, m=,0.152, ca=,0.0479, cr=,0.0473, 
