0.000, Bid:,0,Ask:,0,
64.475, Bid:,11,85,1,127,1,133,1,150,1,177,1,201,1,225,1,262,1,301,1,302,1,304,1,Ask:,10,310,1,334,2,339,1,349,1,363,1,376,1,388,1,414,1,436,1,479,1,
64.575, Bid:,11,85,1,127,1,133,1,150,1,177,1,201,1,225,1,262,1,301,1,302,1,304,1,Ask:,10,310,1,327,1,334,2,339,1,363,1,376,1,388,1,414,1,436,1,479,1,
64.600, Bid:,11,85,1,127,1,133,1,150,1,177,1,201,1,225,1,262,1,301,1,302,1,304,1,Ask:,10,310,1,314,1,327,1,334,2,339,1,363,1,376,1,388,1,436,1,479,1,
64.650, Bid:,11,85,1,127,1,133,1,150,1,177,1,201,1,225,1,262,1,301,1,302,1,304,1,Ask:,10,310,1,314,1,327,1,331,1,334,2,363,1,376,1,388,1,436,1,479,1,
64.675, Bid:,11,85,1,127,1,133,1,150,1,177,1,201,1,225,1,262,1,301,1,302,1,304,1,Ask:,10,310,1,314,1,327,1,331,1,334,2,359,1,363,1,376,1,388,1,436,1,
64.825, Bid:,11,85,1,127,1,133,1,150,1,177,1,201,1,225,1,262,1,301,1,302,1,304,1,Ask:,10,310,1,314,1,327,1,331,1,334,2,359,1,376,1,388,1,436,1,438,1,
64.850, Bid:,11,85,1,118,1,127,1,150,1,177,1,201,1,225,1,262,1,301,1,302,1,304,1,Ask:,10,310,1,314,1,327,1,331,1,334,2,359,1,376,1,388,1,436,1,438,1,
64.950, Bid:,11,85,1,118,1,123,1,127,1,177,1,201,1,225,1,262,1,301,1,302,1,304,1,Ask:,10,310,1,314,1,327,1,331,1,334,2,359,1,376,1,388,1,436,1,438,1,
64.975, Bid:,11,85,1,118,1,123,1,127,1,201,1,225,1,249,1,262,1,301,1,302,1,304,1,Ask:,10,310,1,314,1,327,1,331,1,334,2,359,1,376,1,388,1,436,1,438,1,
65.000, Bid:,11,85,1,90,1,118,1,123,1,127,1,201,1,225,1,262,1,301,1,302,1,304,1,Ask:,10,310,1,314,1,327,1,331,1,334,2,359,1,376,1,388,1,436,1,438,1,
65.025, Bid:,11,15,1,85,1,90,1,118,1,123,1,201,1,225,1,262,1,301,1,302,1,304,1,Ask:,10,310,1,314,1,327,1,331,1,334,2,359,1,376,1,388,1,436,1,438,1,
65.075, Bid:,11,15,1,85,1,90,1,122,1,123,1,201,1,225,1,262,1,301,1,302,1,304,1,Ask:,10,310,1,314,1,327,1,331,1,334,2,359,1,376,1,388,1,436,1,438,1,
65.125, Bid:,11,15,1,44,1,85,1,90,1,122,1,201,1,225,1,262,1,301,1,302,1,304,1,Ask:,10,310,1,314,1,327,1,331,1,334,2,359,1,376,1,388,1,436,1,438,1,
65.175, Bid:,11,44,1,85,1,90,1,122,1,182,1,201,1,225,1,262,1,301,1,302,1,304,1,Ask:,10,310,1,314,1,327,1,331,1,334,2,359,1,376,1,388,1,436,1,438,1,
65.200, Bid:,11,44,1,85,1,90,1,122,1,182,1,201,1,225,1,262,1,301,1,302,1,304,1,Ask:,10,310,1,314,1,327,1,331,1,334,2,342,1,359,1,376,1,436,1,438,1,
65.225, Bid:,11,44,1,85,1,90,1,122,1,182,1,201,1,225,1,262,1,301,1,302,1,304,1,Ask:,10,310,1,314,1,327,1,331,1,334,2,359,1,376,1,436,1,438,1,484,1,
65.250, Bid:,11,44,1,85,1,90,1,122,1,201,1,218,1,225,1,262,1,301,1,302,1,304,1,Ask:,10,310,1,314,1,327,1,331,1,334,2,359,1,376,1,436,1,438,1,484,1,
65.275, Bid:,11,44,1,85,1,90,1,122,1,201,1,218,1,225,1,262,1,301,1,302,1,304,1,Ask:,10,310,1,314,1,327,1,331,1,334,2,340,1,359,1,376,1,436,1,438,1,
65.300, Bid:,10,44,1,85,1,122,1,201,1,218,1,225,1,262,1,301,1,302,1,304,1,Ask:,9,314,1,327,1,331,1,334,2,340,1,359,1,376,1,436,1,438,1,
65.325, Bid:,10,44,1,85,1,122,1,201,1,218,1,225,1,262,1,301,1,302,1,304,1,Ask:,9,314,1,327,1,331,1,334,2,340,1,359,1,376,1,416,1,436,1,
65.450, Bid:,10,85,1,122,1,163,1,201,1,218,1,225,1,262,1,301,1,302,1,304,1,Ask:,9,314,1,327,1,331,1,334,2,340,1,359,1,376,1,416,1,436,1,
65.500, Bid:,10,85,1,122,1,163,1,201,1,218,1,225,1,262,1,301,1,302,1,304,1,Ask:,10,314,1,318,1,327,1,331,1,334,1,340,1,359,1,376,1,416,1,436,1,
65.550, Bid:,10,85,1,122,1,163,1,201,1,218,1,225,1,262,1,302,1,304,1,305,1,Ask:,10,314,1,318,1,327,1,331,1,334,1,340,1,359,1,376,1,416,1,436,1,
65.575, Bid:,10,80,1,85,1,122,1,163,1,218,1,225,1,262,1,302,1,304,1,305,1,Ask:,10,314,1,318,1,327,1,331,1,334,1,340,1,359,1,376,1,416,1,436,1,
65.625, Bid:,10,80,1,85,1,122,1,163,1,218,1,225,1,262,1,302,1,304,1,305,1,Ask:,10,314,1,318,1,327,1,331,1,334,1,359,1,376,1,396,1,416,1,436,1,
65.700, Bid:,10,80,1,85,1,122,1,218,1,225,1,226,1,262,1,302,1,304,1,305,1,Ask:,10,314,1,318,1,327,1,331,1,334,1,359,1,376,1,396,1,416,1,436,1,
65.725, Bid:,10,80,1,85,1,122,1,218,1,225,1,226,1,262,1,302,1,304,1,305,1,Ask:,9,314,1,318,1,327,2,334,1,359,1,376,1,396,1,416,1,436,1,
65.775, Bid:,10,80,1,85,1,122,1,185,1,218,1,225,1,262,1,302,1,304,1,305,1,Ask:,9,314,1,318,1,327,2,334,1,359,1,376,1,396,1,416,1,436,1,
65.850, Bid:,10,24,1,80,1,122,1,185,1,218,1,225,1,262,1,302,1,304,1,305,1,Ask:,9,314,1,318,1,327,2,334,1,359,1,376,1,396,1,416,1,436,1,
65.900, Bid:,10,24,1,80,1,122,1,218,1,225,1,262,1,284,1,302,1,304,1,305,1,Ask:,9,314,1,318,1,327,2,334,1,359,1,376,1,396,1,416,1,436,1,
66.050, Bid:,10,79,1,80,1,122,1,218,1,225,1,262,1,284,1,302,1,304,1,305,1,Ask:,9,314,1,318,1,327,2,334,1,359,1,376,1,396,1,416,1,436,1,
66.100, Bid:,10,79,1,80,1,122,1,218,1,225,1,262,1,284,1,304,1,305,1,306,1,Ask:,9,314,1,318,1,327,2,334,1,359,1,376,1,396,1,416,1,436,1,
66.225, Bid:,10,40,1,80,1,122,1,218,1,225,1,262,1,284,1,304,1,305,1,306,1,Ask:,9,314,1,318,1,327,2,334,1,359,1,376,1,396,1,416,1,436,1,
66.250, Bid:,10,40,1,80,1,122,1,218,1,225,1,262,1,284,1,304,1,305,1,307,1,Ask:,9,314,1,318,1,327,2,334,1,359,1,376,1,396,1,416,1,436,1,
66.275, Bid:,10,40,1,80,1,122,1,218,1,225,1,262,1,284,1,304,1,305,1,308,1,Ask:,9,314,1,318,1,327,2,334,1,359,1,376,1,396,1,416,1,436,1,
66.325, Bid:,10,40,1,80,1,122,1,218,1,225,1,262,1,284,1,304,1,305,1,308,1,Ask:,9,314,1,318,1,327,2,334,1,359,1,376,1,396,1,436,1,496,1,
66.375, Bid:,9,40,1,80,1,218,1,225,1,262,1,284,1,304,2,305,1,308,1,Ask:,9,314,1,318,1,327,2,334,1,359,1,376,1,396,1,436,1,496,1,
66.475, Bid:,9,24,1,40,1,218,1,225,1,262,1,284,1,304,2,305,1,308,1,Ask:,9,314,1,318,1,327,2,334,1,359,1,376,1,396,1,436,1,496,1,
66.525, Bid:,9,24,1,40,1,218,1,225,1,262,1,284,1,304,2,305,1,308,1,Ask:,9,314,1,318,1,324,1,327,2,334,1,359,1,376,1,396,1,436,1,
66.550, Bid:,9,24,1,40,1,218,1,225,1,262,1,284,1,304,2,305,1,308,1,Ask:,10,314,1,318,1,324,1,327,1,334,1,359,1,376,1,396,1,436,1,451,1,
66.725, Bid:,8,24,1,40,1,225,1,262,1,284,1,304,2,305,1,308,1,Ask:,9,318,1,324,1,327,1,334,1,359,1,376,1,396,1,436,1,451,1,
66.800, Bid:,9,24,1,40,1,225,1,262,1,284,1,304,1,305,1,308,1,309,1,Ask:,9,318,1,324,1,327,1,334,1,359,1,376,1,396,1,436,1,451,1,
66.825, Bid:,9,24,1,87,1,225,1,262,1,284,1,304,1,305,1,308,1,309,1,Ask:,9,318,1,324,1,327,1,334,1,359,1,376,1,396,1,436,1,451,1,
67.000, Bid:,9,24,1,87,1,225,1,262,1,284,1,304,1,305,1,308,1,310,1,Ask:,9,318,1,324,1,327,1,334,1,359,1,376,1,396,1,436,1,451,1,
67.025, Bid:,9,24,1,87,1,225,1,262,1,284,1,304,1,305,1,308,1,310,1,Ask:,9,318,1,324,1,327,1,334,1,376,1,388,1,396,1,436,1,451,1,
67.050, Bid:,9,24,1,87,1,225,1,262,1,284,1,304,1,305,1,308,1,310,1,Ask:,9,318,1,324,1,327,1,334,1,349,1,376,1,388,1,436,1,451,1,
67.075, Bid:,9,24,1,87,1,225,1,262,1,284,1,304,1,305,1,308,1,310,1,Ask:,9,314,1,324,1,327,1,334,1,349,1,376,1,388,1,436,1,451,1,
67.100, Bid:,9,24,1,87,1,225,1,262,1,284,1,304,1,305,1,308,1,310,1,Ask:,9,314,1,324,1,327,1,334,1,349,1,388,1,402,1,436,1,451,1,
67.125, Bid:,9,24,1,87,1,225,1,262,1,284,1,304,1,305,1,308,1,310,1,Ask:,9,314,1,324,1,327,1,334,1,388,1,402,1,407,1,436,1,451,1,
67.325, Bid:,9,24,1,87,1,225,1,262,1,284,1,304,1,305,1,308,1,310,1,Ask:,9,314,1,321,1,324,1,334,1,388,1,402,1,407,1,436,1,451,1,
67.425, Bid:,9,24,1,87,1,203,1,225,1,262,1,304,1,305,1,308,1,310,1,Ask:,9,314,1,321,1,324,1,334,1,388,1,402,1,407,1,436,1,451,1,
67.450, Bid:,9,24,1,87,1,203,1,225,1,262,1,304,1,305,1,308,1,311,1,Ask:,9,314,1,321,1,324,1,334,1,388,1,402,1,407,1,436,1,451,1,
67.500, Bid:,9,24,1,87,1,203,1,225,1,262,1,304,1,305,1,308,1,311,1,Ask:,9,314,1,321,1,324,1,334,1,339,1,388,1,402,1,436,1,451,1,
67.675, Bid:,9,24,1,87,1,203,1,225,1,262,1,304,1,305,1,311,1,312,1,Ask:,9,314,1,321,1,324,1,334,1,339,1,388,1,402,1,436,1,451,1,
67.700, Bid:,9,24,1,87,1,203,1,225,1,262,1,304,1,305,1,311,1,312,1,Ask:,9,314,1,320,1,321,1,324,1,334,1,339,1,388,1,402,1,436,1,
67.725, Bid:,9,24,1,87,1,203,1,225,1,262,1,304,1,305,1,311,1,312,1,Ask:,9,314,1,320,1,321,1,324,1,334,1,388,1,402,1,432,1,436,1,
