t=,1223522, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.044, mSel=,+0.148, b=,0.155, m=,0.117, ca=,0.0387, cr=,0.0392,  actvprof=,0.007977, best_B_id=,B01, best_B_prof=,0.007977, best_B_strat=, mBuy=,-0.044, mSel=,+0.148, b=,0.155, m=,0.117, ca=,0.0387, cr=,0.0392, 
t=,1254895, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.062, mSel=,+0.144, b=,0.177, m=,0.146, ca=,0.0388, cr=,0.0417,  actvprof=,0.008910, best_B_id=,B01, best_B_prof=,0.008910, best_B_strat=, mBuy=,-0.062, mSel=,+0.144, b=,0.177, m=,0.146, ca=,0.0388, cr=,0.0417, 
t=,1286267, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.042, mSel=,+0.128, b=,0.183, m=,0.132, ca=,0.0402, cr=,0.0422,  actvprof=,0.007431, best_B_id=,B01, best_B_prof=,0.007431, best_B_strat=, mBuy=,-0.042, mSel=,+0.128, b=,0.183, m=,0.132, ca=,0.0402, cr=,0.0422, 
t=,1317640, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.049, mSel=,+0.083, b=,0.214, m=,0.138, ca=,0.0424, cr=,0.0429,  actvprof=,0.016254, best_B_id=,B01, best_B_prof=,0.016254, best_B_strat=, mBuy=,-0.049, mSel=,+0.083, b=,0.214, m=,0.138, ca=,0.0424, cr=,0.0429, 
t=,1349013, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.049, mSel=,+0.083, b=,0.214, m=,0.138, ca=,0.0424, cr=,0.0429,  actvprof=,0.016323, best_B_id=,B01, best_B_prof=,0.016323, best_B_strat=, mBuy=,-0.049, mSel=,+0.083, b=,0.214, m=,0.138, ca=,0.0424, cr=,0.0429, 
t=,1380385, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.062, mSel=,+0.082, b=,0.190, m=,0.146, ca=,0.0424, cr=,0.0415,  actvprof=,0.013442, best_B_id=,B01, best_B_prof=,0.013442, best_B_strat=, mBuy=,-0.062, mSel=,+0.082, b=,0.190, m=,0.146, ca=,0.0424, cr=,0.0415, 
t=,1411758, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.079, mSel=,+0.086, b=,0.195, m=,0.201, ca=,0.0431, cr=,0.0402,  actvprof=,0.017159, best_B_id=,B01, best_B_prof=,0.017159, best_B_strat=, mBuy=,-0.079, mSel=,+0.086, b=,0.195, m=,0.201, ca=,0.0431, cr=,0.0402, 
t=,1443130, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.067, mSel=,+0.117, b=,0.171, m=,0.198, ca=,0.0413, cr=,0.0418,  actvprof=,0.016706, best_B_id=,B01, best_B_prof=,0.016706, best_B_strat=, mBuy=,-0.067, mSel=,+0.117, b=,0.171, m=,0.198, ca=,0.0413, cr=,0.0418, 
t=,1474503, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.067, mSel=,+0.117, b=,0.171, m=,0.198, ca=,0.0413, cr=,0.0418,  actvprof=,0.014740, best_B_id=,B01, best_B_prof=,0.014740, best_B_strat=, mBuy=,-0.067, mSel=,+0.117, b=,0.171, m=,0.198, ca=,0.0413, cr=,0.0418, 
t=,1505875, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.067, mSel=,+0.117, b=,0.171, m=,0.198, ca=,0.0413, cr=,0.0418,  actvprof=,0.013780, best_B_id=,B01, best_B_prof=,0.013780, best_B_strat=, mBuy=,-0.067, mSel=,+0.117, b=,0.171, m=,0.198, ca=,0.0413, cr=,0.0418, 
