0.000, Bid:,0,Ask:,0,
64.725, Bid:,9,140,1,170,1,175,1,219,1,250,1,278,1,287,1,300,1,305,2,Ask:,10,310,1,311,1,312,1,327,1,344,1,367,1,372,1,422,1,441,1,444,1,
64.750, Bid:,9,140,1,170,1,175,1,219,1,250,1,278,1,287,1,300,1,305,2,Ask:,10,310,1,311,1,312,1,327,1,344,1,367,1,372,1,414,1,422,1,441,1,
64.825, Bid:,9,74,1,140,1,170,1,175,1,250,1,278,1,287,1,300,1,305,2,Ask:,10,310,1,311,1,312,1,327,1,344,1,367,1,372,1,414,1,422,1,441,1,
64.900, Bid:,9,74,1,140,1,170,1,175,1,250,1,278,1,287,1,300,1,305,2,Ask:,10,310,1,311,1,312,1,327,1,344,1,367,1,372,1,414,1,422,1,434,1,
64.975, Bid:,9,74,1,140,1,170,1,246,1,250,1,278,1,287,1,300,1,305,2,Ask:,10,310,1,311,1,312,1,327,1,344,1,367,1,372,1,414,1,422,1,434,1,
65.000, Bid:,9,74,1,140,1,170,1,246,1,250,1,278,1,287,1,300,1,305,2,Ask:,10,310,1,311,1,312,1,327,1,344,1,367,1,368,1,414,1,422,1,434,1,
65.075, Bid:,8,74,1,170,1,246,1,250,1,278,1,287,1,300,1,305,2,Ask:,9,311,1,312,1,327,1,344,1,367,1,368,1,414,1,422,1,434,1,
65.150, Bid:,8,74,1,170,1,246,1,250,1,278,1,287,1,300,1,305,2,Ask:,9,310,1,311,1,327,1,344,1,367,1,368,1,414,1,422,1,434,1,
65.200, Bid:,8,74,1,170,1,246,1,250,1,278,1,287,1,300,1,305,2,Ask:,9,310,1,311,1,314,1,327,1,344,1,367,1,368,1,414,1,422,1,
65.450, Bid:,8,74,1,170,1,246,1,250,1,278,1,287,1,300,1,305,2,Ask:,9,310,1,311,1,314,1,327,1,344,1,367,1,414,1,422,1,462,1,
65.500, Bid:,8,74,1,170,1,246,1,250,1,278,1,287,1,300,1,305,2,Ask:,9,310,1,311,1,314,1,327,1,344,1,361,1,367,1,422,1,462,1,
65.675, Bid:,8,74,1,170,1,246,1,250,1,278,1,287,1,300,1,305,2,Ask:,9,310,1,311,1,314,1,327,1,344,1,361,1,367,1,414,1,462,1,
65.750, Bid:,8,74,1,170,1,246,1,250,1,278,1,287,1,300,1,305,2,Ask:,9,310,1,311,1,314,1,327,1,344,1,361,1,414,1,439,1,462,1,
65.850, Bid:,8,74,1,170,1,246,1,250,1,278,1,287,1,300,1,305,2,Ask:,9,310,1,311,1,314,1,327,1,344,1,361,1,414,1,450,1,462,1,
66.000, Bid:,8,74,1,170,1,246,1,250,1,278,1,287,1,300,1,305,2,Ask:,9,310,1,311,1,314,1,327,1,344,1,361,1,386,1,450,1,462,1,
66.150, Bid:,8,74,1,170,1,246,1,250,1,278,1,287,1,300,1,305,2,Ask:,9,310,1,311,1,327,1,344,1,361,1,363,1,386,1,450,1,462,1,
66.175, Bid:,9,74,1,170,1,246,1,250,1,278,1,287,1,300,1,305,1,306,1,Ask:,9,310,1,311,1,327,1,344,1,361,1,363,1,386,1,450,1,462,1,
66.300, Bid:,9,74,1,170,1,246,1,250,1,278,1,287,1,300,1,305,1,306,1,Ask:,9,310,1,311,1,327,1,344,1,361,1,363,1,386,1,462,1,485,1,
66.325, Bid:,9,74,1,170,1,246,1,250,1,278,1,287,1,300,1,305,1,306,1,Ask:,9,310,1,311,1,327,1,344,1,352,1,361,1,363,1,462,1,485,1,
66.375, Bid:,9,33,1,74,1,246,1,250,1,278,1,287,1,300,1,305,1,306,1,Ask:,9,310,1,311,1,327,1,344,1,352,1,361,1,363,1,462,1,485,1,
66.400, Bid:,9,33,1,83,1,246,1,250,1,278,1,287,1,300,1,305,1,306,1,Ask:,9,310,1,311,1,327,1,344,1,352,1,361,1,363,1,462,1,485,1,
66.425, Bid:,9,33,1,83,1,246,1,250,1,278,1,287,1,300,1,305,1,306,1,Ask:,9,310,1,311,1,327,1,344,1,352,1,361,1,363,1,425,1,462,1,
66.450, Bid:,9,33,1,102,1,246,1,250,1,278,1,287,1,300,1,305,1,306,1,Ask:,9,310,1,311,1,327,1,344,1,352,1,361,1,363,1,425,1,462,1,
66.550, Bid:,9,33,1,102,1,246,1,250,1,278,1,287,1,300,1,305,1,306,1,Ask:,9,310,1,311,1,327,1,344,1,352,1,363,1,425,1,462,1,480,1,
66.600, Bid:,9,33,1,102,1,246,1,250,1,278,1,287,1,300,1,305,1,306,1,Ask:,9,310,1,311,1,327,1,344,1,352,1,363,1,425,1,462,1,482,1,
