0.000, Bid:,0,Ask:,0,
62.450, Bid:,13,27,1,55,1,109,1,111,1,128,1,200,1,203,1,262,1,275,1,287,1,313,1,316,1,317,1,Ask:,11,324,1,325,1,329,1,334,1,342,1,370,1,374,1,436,1,441,1,445,1,488,1,
62.500, Bid:,13,27,1,55,1,109,1,111,1,128,1,200,1,203,1,262,1,275,1,287,1,313,1,317,1,318,1,Ask:,11,324,1,325,1,329,1,334,1,342,1,370,1,374,1,436,1,441,1,445,1,488,1,
62.600, Bid:,13,27,1,55,1,109,1,111,1,128,1,200,1,203,1,262,1,275,1,287,1,313,1,317,1,318,1,Ask:,11,324,1,325,1,329,1,334,1,342,1,370,1,392,1,436,1,441,1,445,1,488,1,
62.700, Bid:,13,27,1,55,1,109,1,111,1,128,1,200,1,203,1,262,1,275,1,287,1,313,1,317,1,318,1,Ask:,11,324,1,325,1,329,1,334,1,342,1,370,1,371,1,392,1,436,1,445,1,488,1,
62.775, Bid:,13,27,1,55,1,109,1,111,1,128,1,200,1,203,1,262,1,275,1,287,1,313,1,317,1,318,1,Ask:,11,324,1,325,1,329,1,334,1,342,1,370,1,371,1,392,1,445,1,468,1,488,1,
62.800, Bid:,13,27,1,55,1,109,1,111,1,200,1,203,1,262,1,275,1,285,1,287,1,313,1,317,1,318,1,Ask:,11,324,1,325,1,329,1,334,1,342,1,370,1,371,1,392,1,445,1,468,1,488,1,
62.825, Bid:,13,27,1,55,1,109,1,111,1,200,1,203,1,262,1,275,1,285,1,287,1,313,1,317,1,318,1,Ask:,11,324,1,325,1,329,1,334,1,342,1,371,1,392,1,433,1,445,1,468,1,488,1,
62.900, Bid:,13,27,1,55,1,109,1,111,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,317,1,318,1,Ask:,11,324,1,325,1,329,1,334,1,342,1,371,1,392,1,433,1,445,1,468,1,488,1,
62.925, Bid:,13,27,1,55,1,109,1,111,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,317,1,318,1,Ask:,11,324,1,325,1,329,1,334,1,371,1,392,1,433,1,435,1,445,1,468,1,488,1,
62.950, Bid:,13,27,1,55,1,109,1,111,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,317,1,318,1,Ask:,11,323,1,325,1,329,1,334,1,371,1,392,1,433,1,435,1,445,1,468,1,488,1,
62.975, Bid:,13,27,1,55,1,109,1,111,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,317,1,318,1,Ask:,11,323,1,324,1,325,1,329,1,334,1,371,1,392,1,433,1,435,1,445,1,468,1,
63.000, Bid:,13,27,1,55,1,109,1,111,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,317,1,318,1,Ask:,11,322,1,324,1,325,1,329,1,334,1,371,1,392,1,433,1,435,1,445,1,468,1,
63.025, Bid:,13,27,1,47,1,55,1,109,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,317,1,318,1,Ask:,11,322,1,324,1,325,1,329,1,334,1,371,1,392,1,433,1,435,1,445,1,468,1,
63.075, Bid:,13,27,1,47,1,55,1,109,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,317,1,318,1,Ask:,11,322,1,325,1,329,1,330,1,334,1,371,1,392,1,433,1,435,1,445,1,468,1,
63.175, Bid:,13,27,1,47,1,55,1,109,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,317,1,318,1,Ask:,11,322,1,325,1,329,1,330,1,371,1,388,1,392,1,433,1,435,1,445,1,468,1,
